Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,DaysoftheWeek
1503960366,4/12/2016,1,327,346,Tue
1503960366,4/13/2016,2,384,407,Wed
1503960366,4/15/2016,1,412,442,Fri
1503960366,4/16/2016,2,340,367,Sat
1503960366,4/17/2016,1,700,712,Sun
1503960366,4/19/2016,1,304,320,Tue
1503960366,4/20/2016,1,360,377,Wed
1503960366,4/21/2016,1,325,364,Thu
1503960366,4/23/2016,1,361,384,Sat
1503960366,4/24/2016,1,430,449,Sun
1503960366,4/25/2016,1,277,323,Mon
1503960366,4/26/2016,1,245,274,Tue
1503960366,4/28/2016,1,366,393,Thu
1503960366,4/29/2016,1,341,354,Fri
1503960366,4/30/2016,1,404,425,Sat
1503960366,5/1/2016,1,369,396,Sun
1503960366,5/2/2016,1,277,309,Mon
1503960366,5/3/2016,1,273,296,Tue
1503960366,5/5/2016,1,247,264,Thu
1503960366,5/6/2016,1,334,367,Fri
1503960366,5/7/2016,1,331,349,Sat
1503960366,5/8/2016,1,594,611,Sun
1503960366,5/9/2016,1,338,342,Mon
1503960366,5/10/2016,1,383,403,Tue
1503960366,5/11/2016,1,285,306,Wed
1644430081,4/29/2016,1,119,127,Fri
1644430081,4/30/2016,1,124,142,Sat
1644430081,5/2/2016,1,796,961,Mon
1644430081,5/8/2016,1,137,154,Sun
1844505072,4/15/2016,1,644,961,Fri
1844505072,4/30/2016,1,722,961,Sat
1844505072,5/1/2016,1,590,961,Sun
1927972279,4/12/2016,3,750,775,Tue
1927972279,4/13/2016,1,398,422,Wed
1927972279,4/15/2016,2,475,499,Fri
1927972279,4/26/2016,1,296,315,Tue
1927972279,4/28/2016,1,166,178,Thu
2026352035,4/12/2016,1,503,546,Tue
2026352035,4/13/2016,1,531,565,Wed
2026352035,4/14/2016,1,545,568,Thu
2026352035,4/15/2016,1,523,573,Fri
2026352035,4/16/2016,1,524,567,Sat
2026352035,4/17/2016,1,437,498,Sun
2026352035,4/19/2016,1,498,540,Tue
2026352035,4/20/2016,1,461,510,Wed
2026352035,4/21/2016,1,477,514,Thu
2026352035,4/22/2016,1,520,545,Fri
2026352035,4/23/2016,1,522,554,Sat
2026352035,4/24/2016,1,555,591,Sun
2026352035,4/25/2016,1,506,531,Mon
2026352035,4/27/2016,1,508,545,Wed
2026352035,4/28/2016,1,513,545,Thu
2026352035,4/29/2016,1,490,510,Fri
2026352035,4/30/2016,1,573,607,Sat
2026352035,5/1/2016,1,527,546,Sun
2026352035,5/2/2016,1,511,543,Mon
2026352035,5/4/2016,1,538,560,Wed
2026352035,5/5/2016,1,468,485,Thu
2026352035,5/6/2016,1,524,548,Fri
2026352035,5/7/2016,1,511,521,Sat
2026352035,5/8/2016,1,541,568,Sun
2026352035,5/9/2016,1,531,556,Mon
2026352035,5/10/2016,1,357,380,Tue
2026352035,5/11/2016,1,523,553,Wed
2026352035,5/12/2016,1,456,485,Thu
2320127002,4/23/2016,1,61,69,Sat
2347167796,4/13/2016,1,467,531,Wed
2347167796,4/14/2016,1,445,489,Thu
2347167796,4/15/2016,1,452,504,Fri
2347167796,4/17/2016,1,556,602,Sun
2347167796,4/18/2016,1,500,557,Mon
2347167796,4/19/2016,1,465,514,Tue
2347167796,4/21/2016,1,460,484,Thu
2347167796,4/22/2016,1,405,461,Fri
2347167796,4/23/2016,1,374,386,Sat
2347167796,4/24/2016,1,442,459,Sun
2347167796,4/25/2016,1,433,471,Mon
2347167796,4/26/2016,1,436,490,Tue
2347167796,4/27/2016,1,448,499,Wed
2347167796,4/28/2016,1,408,450,Thu
2347167796,4/29/2016,1,411,473,Fri
3977333714,4/12/2016,1,274,469,Tue
3977333714,4/13/2016,2,295,456,Wed
3977333714,4/14/2016,1,291,397,Thu
3977333714,4/15/2016,1,424,556,Fri
3977333714,4/16/2016,1,283,510,Sat
3977333714,4/17/2016,1,381,566,Sun
3977333714,4/18/2016,2,412,522,Mon
3977333714,4/19/2016,1,219,395,Tue
3977333714,4/20/2016,2,152,305,Wed
3977333714,4/21/2016,1,332,512,Thu
3977333714,4/22/2016,1,355,476,Fri
3977333714,4/23/2016,1,235,372,Sat
3977333714,4/24/2016,1,310,526,Sun
3977333714,4/25/2016,1,262,467,Mon
3977333714,4/26/2016,1,250,371,Tue
3977333714,4/27/2016,1,349,540,Wed
3977333714,4/28/2016,1,261,423,Thu
3977333714,4/29/2016,1,333,478,Fri
3977333714,4/30/2016,1,237,382,Sat
3977333714,5/1/2016,1,383,626,Sun
3977333714,5/2/2016,1,230,384,Mon
3977333714,5/3/2016,1,292,500,Tue
3977333714,5/4/2016,1,213,336,Wed
3977333714,5/5/2016,1,318,480,Thu
3977333714,5/6/2016,1,323,512,Fri
3977333714,5/7/2016,1,237,443,Sat
3977333714,5/8/2016,2,259,456,Sun
3977333714,5/10/2016,1,312,452,Tue
4020332650,4/12/2016,1,501,541,Tue
4020332650,4/16/2016,1,77,77,Sat
4020332650,5/3/2016,1,322,332,Tue
4020332650,5/4/2016,1,478,536,Wed
4020332650,5/5/2016,1,226,248,Thu
4020332650,5/6/2016,1,385,408,Fri
4020332650,5/8/2016,1,364,402,Sun
4020332650,5/10/2016,1,442,494,Tue
4319703577,4/14/2016,1,535,557,Thu
4319703577,4/15/2016,1,465,491,Fri
4319703577,4/16/2016,1,506,522,Sat
4319703577,4/18/2016,1,515,551,Mon
4319703577,4/19/2016,2,461,498,Tue
4319703577,4/20/2016,1,523,543,Wed
4319703577,4/21/2016,1,59,65,Thu
4319703577,4/22/2016,1,533,550,Fri
4319703577,4/23/2016,1,692,722,Sat
4319703577,4/24/2016,1,467,501,Sun
4319703577,4/25/2016,1,488,506,Mon
4319703577,4/26/2016,1,505,516,Tue
4319703577,4/27/2016,1,286,307,Wed
4319703577,4/28/2016,1,497,522,Thu
4319703577,4/29/2016,1,523,546,Fri
4319703577,4/30/2016,1,490,516,Sat
4319703577,5/1/2016,1,484,500,Sun
4319703577,5/2/2016,1,478,506,Mon
4319703577,5/3/2016,1,474,512,Tue
4319703577,5/6/2016,1,450,491,Fri
4319703577,5/7/2016,1,507,530,Sat
4319703577,5/8/2016,1,602,638,Sun
4319703577,5/9/2016,1,535,565,Mon
4319703577,5/10/2016,1,487,517,Tue
4319703577,5/11/2016,1,529,558,Wed
4319703577,5/12/2016,1,302,321,Thu
4388161847,4/15/2016,1,499,526,Fri
4388161847,4/16/2016,2,426,448,Sat
4388161847,4/17/2016,2,619,641,Sun
4388161847,4/18/2016,1,99,104,Mon
4388161847,4/19/2016,1,329,338,Tue
4388161847,4/20/2016,1,421,451,Wed
4388161847,4/21/2016,1,442,458,Thu
4388161847,4/22/2016,1,82,85,Fri
4388161847,4/23/2016,1,478,501,Sat
4388161847,4/24/2016,3,552,595,Sun
4388161847,4/26/2016,1,319,346,Tue
4388161847,4/27/2016,1,439,500,Wed
4388161847,4/28/2016,1,428,458,Thu
4388161847,4/30/2016,2,409,430,Sat
4388161847,5/1/2016,1,547,597,Sun
4388161847,5/2/2016,2,368,376,Mon
4388161847,5/4/2016,1,390,414,Wed
4388161847,5/5/2016,1,471,495,Thu
4388161847,5/5/2016,1,471,495,Thu
4388161847,5/7/2016,1,472,496,Sat
4388161847,5/8/2016,2,529,541,Sun
4388161847,5/9/2016,1,62,65,Mon
4388161847,5/10/2016,1,354,375,Tue
4388161847,5/11/2016,1,469,494,Wed
4445114986,4/12/2016,2,429,457,Tue
4445114986,4/13/2016,2,370,406,Wed
4445114986,4/14/2016,1,441,492,Thu
4445114986,4/15/2016,2,337,379,Fri
4445114986,4/16/2016,1,462,499,Sat
4445114986,4/17/2016,1,98,107,Sun
4445114986,4/19/2016,2,388,424,Tue
4445114986,4/20/2016,1,439,462,Wed
4445114986,4/21/2016,1,436,469,Thu
4445114986,4/22/2016,1,388,417,Fri
4445114986,4/25/2016,1,328,345,Mon
4445114986,4/26/2016,2,353,391,Tue
4445114986,4/27/2016,1,332,374,Wed
4445114986,4/28/2016,1,419,442,Thu
4445114986,4/29/2016,1,106,108,Fri
4445114986,4/30/2016,1,322,353,Sat
4445114986,5/1/2016,2,439,459,Sun
4445114986,5/2/2016,1,502,542,Mon
4445114986,5/3/2016,2,417,450,Tue
4445114986,5/4/2016,2,337,363,Wed
4445114986,5/5/2016,2,462,513,Thu
4445114986,5/6/2016,2,374,402,Fri
4445114986,5/7/2016,2,401,436,Sat
4445114986,5/8/2016,1,361,391,Sun
4445114986,5/9/2016,1,457,533,Mon
4445114986,5/10/2016,1,405,426,Tue
4445114986,5/11/2016,1,499,530,Wed
4445114986,5/12/2016,1,483,501,Thu
4558609924,4/21/2016,1,126,137,Thu
4558609924,4/26/2016,1,103,121,Tue
4558609924,4/29/2016,1,171,179,Fri
4558609924,5/1/2016,1,115,129,Sun
4558609924,5/8/2016,1,123,134,Sun
4702921684,4/12/2016,1,425,439,Tue
4702921684,4/13/2016,2,400,430,Wed
4702921684,4/14/2016,1,384,415,Thu
4702921684,4/15/2016,1,253,257,Fri
4702921684,4/16/2016,2,382,406,Sat
4702921684,4/17/2016,1,591,612,Sun
4702921684,4/18/2016,1,293,312,Mon
4702921684,4/19/2016,1,457,487,Tue
4702921684,4/20/2016,1,454,468,Wed
4702921684,4/21/2016,1,425,434,Thu
4702921684,4/23/2016,1,465,475,Sat
4702921684,4/24/2016,1,480,506,Sun
4702921684,4/25/2016,1,370,380,Mon
4702921684,4/26/2016,1,421,429,Tue
4702921684,4/27/2016,1,432,449,Wed
4702921684,4/28/2016,1,442,461,Thu
4702921684,4/29/2016,1,433,447,Fri
4702921684,4/30/2016,1,479,501,Sat
4702921684,5/3/2016,1,327,373,Tue
4702921684,5/4/2016,1,412,434,Wed
4702921684,5/5/2016,1,414,428,Thu
4702921684,5/6/2016,1,404,449,Fri
4702921684,5/7/2016,1,520,543,Sat
4702921684,5/7/2016,1,520,543,Sat
4702921684,5/9/2016,1,435,458,Mon
